loss,cer
3.546149132648734e-05,0.27482179533647455
3.615583484153809e-05,0.27640228805600614
3.621857165020581e-05,0.27567972737177543
3.619580186862266e-05,0.2756653231393584
3.631154956620651e-05,0.27533010851091644
3.638338104491023e-05,0.2751095742843751
3.641326374617837e-05,0.2753914756087025
3.637371537756276e-05,0.2754656476557049
3.6396178253309664e-05,0.2755046126053739
3.643503399718196e-05,0.2755379074706806
3.6426400290328384e-05,0.274937665654505
3.647436642078884e-05,0.2747188209644781
3.652799888874691e-05,0.27468586474685863
3.657240705270031e-05,0.27490491741828027
3.6531860731017256e-05,0.27487738141239804
3.6568163002508666e-05,0.2747944970688762
3.654491364648909e-05,0.2748618122737707
3.6557231060582284e-05,0.2748681873967268
3.6549407051680975e-05,0.27483262425810123
3.6558952261257374e-05,0.2749987044106796
3.655393386696616e-05,0.2748671463506396
3.6539468595238794e-05,0.2747991696507576
3.653691245130861e-05,0.2749007143423571
3.651718506863281e-05,0.27479382897271315
3.651871325346656e-05,0.274693317091421
3.652614422947251e-05,0.27478699473860624
3.6508757077370044e-05,0.2746111691559919
3.6505737958404356e-05,0.27455719816702023
3.6498090573857925e-05,0.27446676846966933
3.6506437592965856e-05,0.27453781374387315
3.635213936757761e-05,0.27630694814818285
3.6629907075570754e-05,0.27615067668615406
3.664516638073046e-05,0.276192999542756
3.6673701590566215e-05,0.27617734939690325
3.657733889416328e-05,0.2760565098938767
3.6747738547620486e-05,0.27603735055862527
3.657612891759393e-05,0.27594300215896933
3.636354534485003e-05,0.27578570727639273
3.634880821758388e-05,0.2757476997866853
3.633749537873463e-05,0.2757123934608794
3.6392363021282014e-05,0.2758544017275698
3.642908880529074e-05,0.27592100513236784
3.639804682525359e-05,0.2758157534126394
3.638907317176496e-05,0.27570785329854697
3.644576431393638e-05,0.27579785722597633
3.639959015362135e-05,0.2757268034414295
3.639724715638506e-05,0.27581566368554505
3.643160722016666e-05,0.2758566091280293
3.642225814796965e-05,0.275793736654167
3.643560800465859e-05,0.27570273523851146
3.6494865824851797e-05,0.27571398444997985
3.6550814406273655e-05,0.27567838335302214
